Province,Municipality,Employment
Seoul,Jongno-gu,215788
Seoul,Jung-gu,300057
Seoul,Yongsan-gu,113369
Seoul,Seongdong-gu,151107
Seoul,Gwangjin-gu,92296
Seoul,Dongdaemun-gu,102331
Seoul,Jungnang-gu,66316
Seoul,Seongbuk-gu,80807
Seoul,Gangbuk-gu,46765
Seoul,Dobong-gu,45152
Seoul,Nowon-gu,79287
Seoul,Eunpyeong-gu,62032
Seoul,Seodaemun-gu,82636
Seoul,Mapo-gu,213004
Seoul,Yangcheon-gu,83619
Seoul,Gangseo-gu,217458
Seoul,Guro-gu,186660
Seoul,Geumcheon-gu,212622
Seoul,Yeongdeungpo-gu,327555
Seoul,Dongjak-gu,74904
Seoul,Gwanak-gu,73828
Seoul,Seocho-gu,400545
Seoul,Gangnam-gu,656687
Seoul,Songpa-gu,311906
Seoul,Gangdong-gu,106685
Incheon,Jung-gu,81092
Incheon,Dong-gu,27808
Incheon,Michuhol-gu,83614
Incheon,Yeonsu-gu,99353
Incheon,Namdong-gu,183271
Incheon,Bupyeong-gu,118268
Incheon,Gyeyang-gu,59497
Incheon,Seo-gu,159981
Incheon,Ganghwa-gun,12861
Incheon,Ongjin-gun,4041
Gyeonggi,Suwon-si,332945
Gyeonggi,Seongnam-si,391871
Gyeonggi,Uijeongbu-si,79750
Gyeonggi,Anyang-si,198404
Gyeonggi,Bucheon-si,221125
Gyeonggi,Gwangmyeong-si,68008
Gyeonggi,Pyeongtaek-si,192458
Gyeonggi,Dongducheon-si,19400
Gyeonggi,Ansan-si,253599
Gyeonggi,Goyang-si,247840
Gyeonggi,Gwacheon-si,22553
Gyeonggi,Guri-si,43817
Gyeonggi,Namyangju-si,129028
Gyeonggi,Osan-si,51750
Gyeonggi,Siheung-si,166505
Gyeonggi,Gunpo-si,85396
Gyeonggi,Uiwang-si,42107
Gyeonggi,Hanam-si,66428
Gyeonggi,Yongin-si,285465
Gyeonggi,Paju-si,155202
Gyeonggi,Icheon-si,104294
Gyeonggi,Anseong-si,82756
Gyeonggi,Gimpo-si,141628
Gyeonggi,Hwaseong-si,426918
Gyeonggi,Gwangju-si,108864
Gyeonggi,Yangju-si,69513
Gyeonggi,Pocheon-si,74402
Gyeonggi,Yeoju-si,33609
Gyeonggi,Yeoncheon-gun,9803
Gyeonggi,Gapyeong-gun,16253
Gyeonggi,Yangpyeong-gun,19715
Daejeon,Dong-gu,54109
Daejeon,Jung-gu,67173
Daejeon,Seo-gu,132623
Daejeon,Yuseong-gu,150362
Daejeon,Daedeok-gu,78148
Sejong,Sejong-si,82122
Chungbuk,Cheongju-si,268559
Chungbuk,Chungju-si,66350
Chungbuk,Jecheon-si,36676
Chungbuk,Boeun-gun,9632
Chungbuk,Okcheon-gun,14278
Chungbuk,Yeongdong-gun,9150
Chungbuk,Jeungpyeong-gun,10084
Chungbuk,Jincheon-gun,46829
Chungbuk,Goesan-gun,10121
Chungbuk,Eumseong-gun,63359
Chungbuk,Danyang-gun,9243
Chungnam,Cheonan-si,232031
Chungnam,Gongju-si,33477
Chungnam,Boryeong-si,26901
Chungnam,Asan-si,149168
Chungnam,Seosan-si,55188
Chungnam,Nonsan-si,32835
Chungnam,Gyeryong-si,6080
Chungnam,Dangjin-si,69513
Chungnam,Geumsan-gun,19804
Chungnam,Buyeo-gun,11781
Chungnam,Seocheon-gun,18575
Chungnam,Cheongyang-gun,7823
Chungnam,Hongseong-gun,25426
Chungnam,Yesan-gun,23117
Chungnam,Taean-gun,15077
Gwangju,Dong-gu,50263
Gwangju,Seo-gu,116846
Gwangju,Nam-gu,47084
Gwangju,Buk-gu,120838
Gwangju,Gwangsan-gu,126667
Jeonbuk,Jeonju-si,178769
Jeonbuk,Gunsan-si,75161
Jeonbuk,Iksan-si,81792
Jeonbuk,Jeongeup-si,26921
Jeonbuk,Namwon-si,15732
Jeonbuk,Gimje-si,27163
Jeonbuk,Wanju-gun,39171
Jeonbuk,Jinan-gun,5142
Jeonbuk,Muju-gun,5807
Jeonbuk,Jangsu-gun,4032
Jeonbuk,Imsil-gun,7850
Jeonbuk,Sunchang-gun,4812
Jeonbuk,Gochang-gun,12895
Jeonbuk,Buan-gun,11145
Jeonnam,Mokpo-si,51632
Jeonnam,Yeosu-si,104727
Jeonnam,Suncheon-si,72075
Jeonnam,Naju-si,39886
Jeonnam,Gwangyang-si,64816
Jeonnam,Damyang-gun,13208
Jeonnam,Gokseong-gun,8296
Jeonnam,Gurye-gun,4759
Jeonnam,Goheung-gun,12443
Jeonnam,Boseong-gun,7874
Jeonnam,Hwasun-gun,17498
Jeonnam,Jangheung-gun,10826
Jeonnam,Gangjin-gun,6974
Jeonnam,Haenam-gun,15312
Jeonnam,Yeongam-gun,27172
Jeonnam,Muan-gun,17690
Jeonnam,Hampyeong-gun,7305
Jeonnam,Yeonggwang-gun,13871
Jeonnam,Jangseong-gun,14397
Jeonnam,Wando-gun,8407
Jeonnam,Jindo-gun,5567
Jeonnam,Sinan-gun,4909
Daegu,Jung-gu,61635
Daegu,Dong-gu,82323
Daegu,Seo-gu,52593
Daegu,Nam-gu,38621
Daegu,Buk-gu,110888
Daegu,Suseong-gu,91278
Daegu,Dalseo-gu,154044
Daegu,Dalseong-gun,81594
Gyeongbuk,Pohang-si,150307
Gyeongbuk,Gyeongju-si,90511
Gyeongbuk,Gimcheon-si,41567
Gyeongbuk,Andong-si,37739
Gyeongbuk,Gumi-si,157510
Gyeongbuk,Yeongju-si,24499
Gyeongbuk,Yeongcheon-si,32655
Gyeongbuk,Sangju-si,21140
Gyeongbuk,Mungyeong-si,16229
Gyeongbuk,Gyeongsan-si,84151
Gyeongbuk,Gunwi-gun,5882
Gyeongbuk,Uiseong-gun,10347
Gyeongbuk,Cheongsong-gun,6481
Gyeongbuk,Yeongyang-gun,2967
Gyeongbuk,Yeongdeok-gun,6830
Gyeongbuk,Cheongdo-gun,9746
Gyeongbuk,Goryeong-gun,14501
Gyeongbuk,Seongju-gun,15504
Gyeongbuk,Chilgok-gun,47145
Gyeongbuk,Yecheon-gun,8060
Gyeongbuk,Bonghwa-gun,6421
Gyeongbuk,Uljin-gun,11599
Gyeongbuk,Ulleung-gun,2082
Busan,Jung-gu,49068
Busan,Seo-gu,33790
Busan,Dong-gu,57774
Busan,Yeongdo-gu,31214
Busan,Busanjin-gu,119609
Busan,Dongnae-gu,66498
Busan,Nam-gu,60150
Busan,Buk-gu,40070
Busan,Haeundae-gu,111133
Busan,Saha-gu,81091
Busan,Geumjeong-gu,67992
Busan,Gangseo-gu,107920
Busan,Yeonje-gu,61631
Busan,Suyeong-gu,38064
Busan,Sasang-gu,90507
Busan,Gijang-gun,50081
Ulsan,Jung-gu,36168
Ulsan,Nam-gu,131400
Ulsan,Dong-gu,58448
Ulsan,Buk-gu,83192
Ulsan,Ulju-gun,92183
Gyeongnam,Changwon-si,335565
Gyeongnam,Jinju-si,90888
Gyeongnam,Tongyeong-si,25185
Gyeongnam,Sacheon-si,38716
Gyeongnam,Gimhae-si,176541
Gyeongnam,Miryang-si,25442
Gyeongnam,Geoje-si,80050
Gyeongnam,Yangsan-si,111363
Gyeongnam,Uiryeong-gun,5865
Gyeongnam,Haman-gun,34422
Gyeongnam,Changnyeong-gun,18144
Gyeongnam,Goseong-gun,13238
Gyeongnam,Namhae-gun,8777
Gyeongnam,Hadong-gun,9025
Gyeongnam,Sancheong-gun,8005
Gyeongnam,Hamyang-gun,8044
Gyeongnam,Geochang-gun,14161
Gyeongnam,Hapcheon-gun,9790
Gangwon,Chuncheon-si,78501
Gangwon,Wonju-si,111745
Gangwon,Gangneung-si,60274
Gangwon,Donghae-si,22767
Gangwon,Taebaek-si,13499
Gangwon,Sokcho-si,20942
Gangwon,Samcheok-si,19056
Gangwon,Hongcheon-gun,16789
Gangwon,Hoengseong-gun,13642
Gangwon,Yeongwol-gun,10512
Gangwon,Pyeongchang-gun,11981
Gangwon,Jeongseon-gun,12638
Gangwon,Cheorwon-gun,8228
Gangwon,Hwacheon-gun,3650
Gangwon,Yanggu-gun,4047
Gangwon,Inje-gun,7687
Gangwon,Goseong-gun,8925
Gangwon,Yangyang-gun,8877
Jeju,Jeju-si,146977
Jeju,Seogwipo-si,44309
